country,countryn,year,f,ext_type,oth_exclusions,CAPNAME,CAPLONG,CAPLAT,cowcodes2,cowcode2,ccdcodelet,ccdcodenum,wdicode,imf_code,politycode,bankscode,dpicode,uncode,un_region,un_region_name,un_continent,un_continent_name,aclp_region,ccode
142,Afghanistan,1978,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1979,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1980,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1981,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1982,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1983,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1984,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1985,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1986,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1987,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1988,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1989,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1990,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1991,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1992,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1993,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1994,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1995,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
142,Afghanistan,1996,72,0,0,Kabul,69.18333,34.51667,700,700,AFG,1,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,700
